City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,manado,1.487,124.8455,92.17,52,40,9.22,ID,1692675809
250,arawa,-6.2132,155.5367,77.25,96,100,5.26,PG,1692675809
251,tanjung pandan,-2.75,107.65,90.07,49,39,10.69,ID,1692675809
252,enoch,37.7733,-113.0244,61.05,83,40,5.75,US,1692675810
253,praia da vitoria,38.7333,-27.0667,68.25,73,40,12.39,PT,1692675591
254,bardai,11.65,7.2333,72.28,87,97,3.85,NG,1692675810
255,marion,39.7684,-86.1555,82.78,85,100,5.75,US,1692675653
256,san patricio,28.017,-97.5169,87.89,67,100,11.43,US,1692675810
257,vila velha,-20.3297,-40.2925,73.35,97,40,2.3,BR,1692675810
258,nemuro,43.3236,145.575,67.84,98,99,11.45,JP,1692675810
259,papao,-17.75,-149.55,78.48,70,7,15.9,PF,1692675811
260,rawson,-43.3002,-65.1023,46.72,50,26,21.45,AR,1692675811
261,twon-brass,4.3151,6.2418,77.97,89,100,9.06,NG,1692675811
262,ikwiriri,-7.9562,38.9716,70.0,93,22,1.03,TZ,1692675811
263,daoukro,7.0591,-3.9631,72.43,99,100,3.47,CI,1692675811
264,tingi,-11.3,35.0333,60.94,62,3,3.76,TZ,1692675811
265,rio grande,-32.035,-52.0986,57.94,93,32,17.16,BR,1692675812
266,farafangana,-22.8167,47.8333,67.98,92,11,3.98,MG,1692675812
267,nikolayevsk-on-amure,53.1406,140.73,73.63,62,100,2.13,RU,1692675812
268,buka,40.8108,69.1986,86.18,16,5,6.44,UZ,1692675812
269,shaowu,27.3409,117.4831,77.34,96,92,3.11,CN,1692675812
270,kulhudhuffushi,6.6221,73.07,82.81,76,94,11.95,MV,1692675813
271,port lincoln,-34.7333,135.8667,57.79,51,17,12.68,AU,1692675813
272,rikaze,29.25,88.8833,65.8,48,89,2.51,CN,1692675813
273,badger,64.8,-147.5333,60.67,81,100,8.05,US,1692675738
274,demopolis,32.5176,-87.8364,80.55,78,40,0.0,US,1692675813
275,hell-ville,-13.4,48.2667,69.67,79,20,2.3,MG,1692675813
276,susuman,62.7833,148.1667,41.22,93,100,4.97,RU,1692675813
277,mto wa mbu,-3.35,35.85,66.15,73,38,2.15,TZ,1692675814
278,morehead city,34.7229,-76.726,84.02,88,0,10.36,US,1692675814
279,taoudenni,22.6783,-3.9836,95.09,22,23,6.31,ML,1692675814
280,aasiaat,68.7098,-52.8699,39.0,89,98,1.07,GL,1692675814
281,marsh harbour,26.5412,-77.0636,83.71,75,3,19.64,BS,1692675814
282,mont-dore,-22.2833,166.5833,76.98,99,75,14.36,NC,1692675815
283,st. john's,47.5649,-52.7093,65.97,91,75,14.97,CA,1692675674
284,el bordo,2.117,-76.9821,68.86,98,100,0.56,CO,1692675815
285,monterey,36.2505,-121.2516,68.18,1,67,5.21,US,1692675815
286,nyurba,63.2842,118.3319,58.12,41,8,8.79,RU,1692675815
287,floro,61.5996,5.0328,59.97,88,75,8.05,NO,1692675815
288,boca raton,26.3587,-80.0831,87.01,80,75,13.8,US,1692675146
289,lijiang,26.8688,100.2207,62.15,90,100,2.62,CN,1692675816
290,deqen,29.9618,90.7188,64.96,55,41,2.8,CN,1692675816
291,sorong,-0.8833,131.25,85.55,66,88,11.41,ID,1692675816
292,afaahiti,-17.75,-149.2833,76.87,69,15,14.83,PF,1692675816
